CI ID,Name,Alias,Approval group,Managed by,Support group,Manufacturer/Vendor,Short Description,Assigned to,Business criticality,Class,Comments,Consumer type,Created by,Domain,Managed By Group,Parent,Problem Manager Group,Problem Owner Group,Product Owner Executive,Product Owner,Revenue Impact,Service Executive ,Service Owner,Service Team,Supported by,Updated by,Text,n_tokens,index
CI000356555,Active Directory Group Policy Management,,GWS-eMail&Mess-APPRV,Michael Stotler,GWS-Messaging-Collaboration-Ops,,Active Directory GPO support.,,3 - less critical,Business Service,,,rthom260,global,,,,,,,,James Scholefield,James Scholefield,,,admin,CI ID: CI000356555; Name: Active Directory Group Policy Management; Alias: ; Approval group: GWS-eMail&Mess-APPRV; Managed by: Michael Stotler; Support group: GWS-Messaging-Collaboration-Ops; Manufacturer/Vendor: ; Short Description: Active Directory GPO support.; Assigned to: ; Business criticality: 3 - less critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthom260; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : James Scholefield; Service Owner: James Scholefield; Service Team: ; Supported by: ; Updated by: admin,166,10
CI006173678,Active Directory Services Portal,,GWS-DirServices-APPRV,Saket Goenka,GWS-L3-Marriott-Dir-Services,,Active Directory Services Portal (ADSP) application provides a Marriott Business Logic layer and Automation Services on top of Microsoft Active Directory.,,2 - somewhat critical,Business Service,,,ezhai301,global,,,,,,,,Adnan Haq,Matthew Barczak,Infrastructure – IaaS,,admin,CI ID: CI006173678; Name: Active Directory Services Portal; Alias: ; Approval group: GWS-DirServices-APPRV; Managed by: Saket Goenka; Support group: GWS-L3-Marriott-Dir-Services; Manufacturer/Vendor: ; Short Description: Active Directory Services Portal (ADSP) application provides a Marriott Business Logic layer and Aut; Assigned to: ; Business criticality: 2 - somewhat critical; Class: Business Service; Comments: ; Consumer type: ; Created by: ezhai301; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Adnan Haq; Service Owner: Matthew Barczak; Service Team: Infrastructure – IaaS; Supported by: ; Updated by: admin,181,11
CI001062924,Actuate,,Service Desk-IDP-APPRV,Bruce Nguyen,Service Desk-IDP,,Providing support for the Actuate product.,,4 - not critical,Business Service,,,rthom260,global,,,,,,,,,Lovell Elliott,,,cspha088,CI ID: CI001062924; Name: Actuate; Alias: ; Approval group: Service Desk-IDP-APPRV; Managed by: Bruce Nguyen; Support group: Service Desk-IDP; Manufacturer/Vendor: ; Short Description: Providing support for the Actuate product.; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthom260; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : ; Service Owner: Lovell Elliott; Service Team: ; Supported by: ; Updated by: cspha088,152,12
CI000539440,Adaco,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,ADACO Support Used at Ritz Carlton,,4 - not critical,Business Service,,,rthomas@runbox.com,global,,,,,,,,Jared Spindler,Jared Spindler,,,cspha088,CI ID: CI000539440; Name: Adaco; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: ADACO Support Used at Ritz Carlton; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Jared Spindler; Service Owner: Jared Spindler; Service Team: ; Supported by: ; Updated by: cspha088,166,13
BSN0002641,Adapters-Res Domain ,,Res-Adapter-Squad5-APPRV,Laura Bergeron,Adapter-Squad5-Dev,,"

Service Map Status = NA",Sneha Balakrishnan,Tier 3,Business Service,,Internal,lnric753,global,Adapter-Squad5-Dev,,ProblemManager_APS-PROB,Res-Adapter-Squad5-PROB,,,Revenue Generating,Suraj Saraf,Abhishek Sharma,Application Production Support,INDIRA SIVARCHAKA,sbala658,CI ID: BSN0002641; Name: Adapters-Res Domain; Alias: ; Approval group: Res-Adapter-Squad5-APPRV; Managed by: Laura Bergeron; Support group: Adapter-Squad5-Dev; Manufacturer/Vendor: ; Short Description: Service Map Status = NA; Assigned to: Sneha Balakrishnan; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: lnric753; Domain: global; Managed By Group: Adapter-Squad5-Dev; Parent: ; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: Res-Adapter-Squad5-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Suraj Saraf; Service Owner: Abhishek Sharma; Service Team: Application Production Support; Supported by: INDIRA SIVARCHAKA; Updated by: sbala658,203,14
CI000007952,ADM ID,,Service Desk-IDP-APPRV,Bruce Nguyen,Service Desk-IDP,,,,4 - not critical,Business Service,,,kabinaya,global,,,,IS-Infrastructure-Software-PROB,,,,David De Seve,Bryan Cannata,,,cspha088,CI ID: CI000007952; Name: ADM ID; Alias: ; Approval group: Service Desk-IDP-APPRV; Managed by: Bruce Nguyen; Support group: Service Desk-IDP; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: kabinaya; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: IS-Infrastructure-Software-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : David De Seve; Service Owner: Bryan Cannata; Service Team: ; Supported by: ; Updated by: cspha088,156,15
CI057876426,Adobe Campaign,,Incident-Mgmt-Consumer-Analytics-L2-APPRV,Pranesh Halder,Data-L3-Adobe-Campaigns-Support,,"Adobe Campaign manages customer data to create, coordinate, and deliver marketing campaigns through email, mobile, offline channels, and more.

https://confluence.marriott.com/display/IM/Adobe+Campaign+Management
================================================================
EAA Master ID = 306
Original 70 = Yes
Original 70 ID = 1
Top 25 = No
Revenue Generating = No
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = 10/17/2019
VBy = Jeff Ecott",Gregory Bowe,Tier 4,Business Service,Details updated as per RITM004282655,,hmcon148,global,,,ProblemManager_APS-PROB,,,,,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,pgarg688,"CI ID: CI057876426; Name: Adobe Campaign; Alias: ; Approval group: Incident-Mgmt-Consumer-Analytics-L2-APPRV; Managed by: Pranesh Halder; Support group: Data-L3-Adobe-Campaigns-Support; Manufacturer/Vendor: ; Short Description: Adobe Campaign manages customer data to create, coordinate, and deliver marketing campaigns through ; Assigned to: Gregory Bowe; Business criticality: Tier 4; Class: Business Service; Comments: Details updated as per RITM004282655; Consumer type: ; Created by: hmcon148; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: pgarg688",204,16
CI000598103,Adobe Connect,,C&WPSE-APPRV,Bruce Nguyen,Service Desk-ESP-L1,,Adobe Connect VPN,,3 - less critical,Business Service,,,dcasillo,global,,,,,,,,Naveen Manga,Pranesh Halder,,,cspha088,CI ID: CI000598103; Name: Adobe Connect; Alias: ; Approval group: C&WPSE-APPRV; Managed by: Bruce Nguyen; Support group: Service Desk-ESP-L1; Manufacturer/Vendor: ; Short Description: Adobe Connect VPN; Assigned to: ; Business criticality: 3 - less critical; Class: Business Service; Comments: ; Consumer type: ; Created by: dcasillo; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Pranesh Halder; Service Team: ; Supported by: ; Updated by: cspha088,155,17
CI000539442,Adobe Connect Add-In,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,Service Desk,,4 - not critical,Business Service,,,rthomas@runbox.com,global,,,,,,,,Naveen Manga,Pranesh Halder,,,cspha088,CI ID: CI000539442; Name: Adobe Connect Add-In; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: Service Desk; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Pranesh Halder; Service Team: ; Supported by: ; Updated by: cspha088,162,18
CI000539443,Adobe Creative Suite,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,Service Desk,,4 - not critical,Business Service,,,rthomas@runbox.com,global,,,,,,,,Naveen Manga,Pranesh Halder,,,cspha088,CI ID: CI000539443; Name: Adobe Creative Suite; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: Service Desk; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Pranesh Halder; Service Team: ; Supported by: ; Updated by: cspha088,161,19
BSN0001701,Adobe Experience Manager  - Book,Adobe Experience Manager  - Book,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,IncidentMgmt-Digital-L2-Support,,"The Reservation Confirmation page in the booking journey is being migrated onto AEM on a new AWS infrastructure. As part of this, the reservation confirmation page will be re-platformed into the new phoenix architecture. The rest of the booking journey pages will continue to be rendered from Aries
............................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated = 10/4/22
VBy = Ling Zhang",,Tier 1,Business Service,Updated details as per RITM004282638,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,rcamp253,CI ID: BSN0001701; Name: Adobe Experience Manager  - Book; Alias: Adobe Experience Manager  - Book; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: The Reservation Confirmation page in the booking journey is being migrated onto AEM on a new AWS inf; Assigned to: ; Business criticality: Tier 1; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: rcamp253,222,20
BSN0001167,Adobe Experience Manager - .CN Site,MLPS .CN AEM Migration,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Rahul Saxena,IncidentMgmt-Digital-L2-Support,,"In order to stay compliant with the China Cybersecurity Law (CSL), Marriott must obtain the Multi-level Protection Scheme 2.0 (MLPS2.0) certification for M.COM.CN website. To achieve this, all Content, Systems and Operations related to the .CN website must be migrated to China. The overall work is broken down into 3 phases. This project is phase 1, which is about enabling static pages on Adobe Experience Manager (AEM), whose Publisher and Dispatcher instances are hosted in China. Refer to page inventory for the CN website pages that will and will not be migrated to static AEM in phase 1. In this dark launch, the only page that will be deployed is Homepage
Infra is managed by Adobe.
For more details:  https://confluence.marriott.com/display/CODI/Page+Inventory
................................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = 
VBy = Imran Tanaji",Payal Patel,Tier 1,Business Service,,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,DigitalProduct-PROB,,,Revenue Generating,Jie Zhang,Qi Zhang,Application Production Support,PADMA NEELAGARU,ppnee867,"CI ID: BSN0001167; Name: Adobe Experience Manager - .CN Site; Alias: MLPS .CN AEM Migration; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Rahul Saxena; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: In order to stay compliant with the China Cybersecurity Law (CSL), Marriott must obtain the Multi-le; Assigned to: Payal Patel; Business criticality: Tier 1; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: DigitalProduct-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Jie Zhang; Service Owner: Qi Zhang; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: ppnee867",223,21
BSN0001413,Adobe Experience Manager - Content Portal,AEM,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,IncidentMgmt-Digital-L2-Support,,"This is a first release for Content Portal Application used by ERS business team to verify the Property Assets and Attributes. This release would move the Content Portal Application to Adobe Experience Manager – Assets.
AEM infra is managed and hosted by Adobe cloud
https://confluence.marriott.com/display/WTACM/Content+Portal-+Adobe+Experience+Manager

...................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = 
VBy = ",,Tier 3,Business Service,Updated details as per RITM004282638,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,pgarg688,CI ID: BSN0001413; Name: Adobe Experience Manager - Content Portal; Alias: AEM; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: This is a first release for Content Portal Application used by ERS business team to verify the Prope; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: pgarg688,219,22
BSN0001123,Adobe Experience Manager - Content Sync,AEM,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,IncidentMgmt-Digital-L2-Support,,"Content Sync project is designed for the migration of data from WEM system to AEM system.
Data in WEM system is sourced from WEM's DB2 database. This data from WEM is consumed using a JDBC source Kafka Connector and then loaded into the Kafka source topics.
The WEM records from the Kafka topics are then consumed, aggregated, preprocessed and transformed into JSON contents, which are  finally posted to the AEM system.
For the purpose of migration, fetching data from WEM is done in two approaches - Initial Load & Delta Load. Initial Load is for the migration of the complete data from WEM and delta load for the WEM data which had been published after the initial migration was completed.
For More details: https://confluence.marriott.com/display/WTACM/Content+Sync+Documentation
................................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated = 
VBy = ",,Tier 4,Business Service,Updated details as per RITM004282638,Internal,ezhai301,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,pgarg688,"CI ID: BSN0001123; Name: Adobe Experience Manager - Content Sync; Alias: AEM; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: Content Sync project is designed for the migration of data from WEM system to AEM system.
Data in WE; Assigned to: ; Business criticality: Tier 4; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: Internal; Created by: ezhai301; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: pgarg688",222,23
