"u_ci_id","name","u_alias","short_description","support_group","managed_by_group","u_product_owners","parent","u_service_team","u_problem_owner_group","u_problem_manager_group","u_service_executive","owned_by","managed_by","change_control","assignment_group","u_product_owner_exe","manufacturer","assigned_to","sys_domain","comments","busines_criticality","sys_class_name","consumer_type","sys_created_by","u_revenue_impact","supported_by","sys_updated_by"
"BSN0001743","MIAssocIOT-All Smart Building Vendors","New HQ Access Control, HQ Access Control, ","Associate App functionality to access HQ turnstyles, call elevators and specialty spaces  via the MI Associate App. 
This Business Services Application has been created to retrieve a comprehensive response when running certain incident related  queries such as, ""All tickets opened since the last X timeframe"". 
","Service Desk-ENG-L1","","","","","","","Sarah Searls","Jerry Gray","Bruce Nguyen","IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN","","","","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"BSN0001781","MIAssocIOT-Contact Tracing-Juniper Mist","Contact Tracing, in room sensors for Marriott HQ","Contact Tracing reporting. App users will not open tickets. Tickets would be open by MI Product, Facilities or Operations.
Contact Tracing, in room sensors for Marriott HQ","Service Desk-ENG-L1","","","","","","","Sarah Searls","Jerry Gray","Bruce Nguyen","IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN","","","Juniper Systems Inc.","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"CI000539602","SnagIt","","IRFA","GWS-HQSupport-HotSpot","","","","","","","James Scholefield","Darren McMahon","Darren McMahon","GWS-Windows-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI000598089","Clear Sky Beverage (BICS)","","Beverage (alcohol) inventory control system used by US/Americas sites","GlobalOps-MarriottMgdApps-MobileKey-RCDelphi-Spa-Support","","","","","","","Jared Spindler","Nicholas Bulmer","","GlobalOps-MarriottMgdApps-MobileKey-RCDelphi-Spa-APPRV","","","","","global","","3 - less critical","Business Service","","dcasillo","None","","admin"
"CI004960078","Workstation Security","Desktop Security","This Business Service Category encompasses all services/solutions/products associated with Desktop Security (i.e. - Falcon CrowdStrike, Microsoft BitLocker, ForcePoint Websense, Trend Deep Security, Comanche, Compliance, etc.)","Security-Operations-Delivery","","","","GWS","","","Pedro Alvarez","Darren McMahon","Saket Goenka","Infrastructure-Security-APPRV","","","","","global","Attributes updated as per RITM004371783","2 - somewhat critical","Business Service","","jbhow340","None","","admin"
"CI007605147","Mac Computer","Mac","IT Delivery --> End User Devices and Operating System --> MAC Computer","Service Desk-ENG-L1","","","","","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Conf&Collab-APPRV","","","","","global","","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"CI001378897","DynaTrace","","(1). Request type = Maintain - This service is used to request support in the DynaTrace tool.   
(2). Request type = Modify - This service is used to request configure/modify DynaTrace tool.
(3). Request type = Request Access - This service to request access to the DynaTrace tool.
(4). Request type = Upgrade - This service to request a upgrade & installation of the DynaTrace tool.","AID-Monitoring-and-Performance-Management-Support","","","","","AID-Monitoring-and-Performance-Management-PROB","","James Scholefield","Dan Smith","Dan Smith","AID-Monitoring-and-Performance-Management-APPRV","","","","","global","","1 - most critical","Business Application","","rthom260","None","","admin"
"BSN0002927","Intune Mobile Devices","Microsoft Intune (MDM)","Mobile device and application management","GWS-DeviceMgmt-Intune-Mobile-Support","TWP-L3-Marriott-MacEngineering","","","","","","Darren McMahon","Darren McMahon","Thea Dendler","TWP-Mobile-APPRV","","","","","global","CI updated as per: RITM003566172","Tier 1","Business Service","Internal","pgarg688","Revenue Generating","","admin"
"CI081927633","catapult::distaster recovery","","Service Map Status = New","","","","","Corporate Systems","","ProblemManager_APS-PROB","Jayesh Amdekar","Divya Shahani","","","","","","","global","","Tier 2","Tag-Based Application Service","","ezhai301","None","","admin"
"CI007605146","Drivers - Laptop PC","","IT Delivery --> End User Devices and Operating Systems --> Drivers - Laptop PC","Service Desk-ENG-L1","","","","","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Conf&Collab-APPRV","","","","","global","Retired as per RITM003908271","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"SNSVC0002933","Commerce Payment Domain Services - (AS)","Commerce Payment Domain Services","Part of City Express integration

namespace name - EKS:  commerce -payments-prod1
OSE:  fraudrisk-apiprod1
confluence link 
https://confluence.marriott.com/display/SCO/Token -Exchange -Service#TokenExchangeService -SolutionDiagrams
https://marriottcloud.atlassian.net/wiki/spaces/SCO/pages/332575328/Token -Exchange -Service

microservices: payment-res-token -ms

Upstream: Empower->reservation -payment-methods-ms
Downstream: FreedomPay

Service Map Status = Not Started","IncidentMgmt-Digital-L2-Support","","","","Application Production Support","COMMERCE-PAYMENT-MICROSERVICES-PROB","ProblemManager_APS-PROB","Naresh Kanagala","Srikanth Melkote Srinivasan","Rahul Saxena","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Ananda Kumar","global","","Tier 2","Tag-Based Application Service","Internal","ezhai301","Revenue Generating","PADMA NEELAGARU","admin"
"CI076976693","Microsoft Windows LTSB 2015/2016","","IT Delivery - End User Computing - End User Devices and Operating System - Microsoft Windows LTSB 2015/2016","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Michael Stotler","GWS-Windows-APPRV","","","Microsoft","","global","","2 - somewhat critical","Business Application","","ijess202","None","","admin"
"BSN0003120","Abnormal ICES_Prod","ICES","IT Delivery - End User Computing - ICES (Integrated Cloud Email Solution) platform is cloud-based and uses APIs to detect anomalies in emails using advanced techniques such as natural language understanding, natural language processing, and image recognition","GWS-Messaging-Collaboration-Ops","","","","GWS","","","Robert Peterscheck","Albert Simmons III","Ashish Tiwari","GWS-eMail&Mess-APPRV","","","","","global","","Tier 5","Calculated Application Service","Internal","pgarg688","None","","admin"
"BSN0003485","Q3E-Invoice - APEC","Q3E-Invoice - APEC","E-Invoice SaaS application","APEC-PKICERT-Support-AP","","","","","","","Choon Hui Sim","Budi Aryono Prapto Wibowo","Choon Hui Sim","APEC-PKI-SSO-APPRV-AP","","","","","global","","Tier 3","Calculated Application Service","Internal","ijess202","None","","admin"
"BSN0001635","MIAssocApp - IOT Platform - ThoughtWire","ThoughtWire IOT Platform","IOT platform provider and Master Systems Integrator to sub-systems.","Service Desk-ENG-L1","","","","","","","Sarah Searls","Jerry Gray","Bruce Nguyen","IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN","","","ThoughtWire","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"SNSVC0001925","upl-commerce-green","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated details as per RITM004282638","Tier 3","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0003433","Google Customer Match","","","Data-Platform-Dev-AMER","","","","Application Production Support","","","Jane Hendrick","Griffith Garwood","Adam Stern","Data-Platform-APPRV","","","","","global","","Tier 4","Calculated Application Service","Internal","lnric753","None","INDIRA SIVARCHAKA","admin"
"CI004960082","GWS-Workplace and End User Applications","Workplace and End User Applications","This Business Service Category encompasses all services/solutions/products associated with Workplace and End User Applications (i.e. - Google Chrome, Microsoft Edge, Microsoft Internet Explorer, Mozilla Firefox, Druva InSync Cloud, Adobe Acrobat, Microsoft Office 365, Microsoft Project, etc.)","GWS-End User Device-OS-Ops","","","","GWS","","","James Scholefield","Darren McMahon","Mohit Aneja","GWS-Workplace & End User Applications-APPRV","","","","","global","CI updated as per: RITM003803222","2 - somewhat critical","Business Service","","jbhow340","Revenue Generating","","admin"
"CI076490412","Sway","","IT Delivery - GWS - Conferencing and Collaboration - Sway
Part of Office 365, and can be accessed with one main url: 
https://login.microsoftonline.com","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Albert Simmons III","Bruce Nguyen","GWS-Conf&Collab-APPRV","","","Box","","global","","2 - somewhat critical","Business Application","","ijess202","None","","admin"
"BSN0003178","SmartDeploy","","Used for imaging windows based devices","GWS-End User Device-OS-Ops","","","","US/Can - iT Support","","","Darren McMahon","Darren McMahon","Michael Stotler","GWS-Windows-APPRV","","","","","global","CI updated as per: RITM004079696","Tier 5","Calculated Application Service","Internal","pgarg688","None","","admin"
"CI000539606","Star","","star.program@marriott.com","Tier-1-Technical-Support-EG","","","","","","","Jeffrey Golding","Jeffrey Golding","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI078834678","Microsoft Office Volume License Suite","","IT Delivery - End User Computing - Workplace and End User Applications - Microsoft Office Volume License Suite","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Workplace & End User Applications-APPRV","","","","","global","","2 - somewhat critical","Business Application","","ijess202","None","","admin"
"SNSVC0001983","pidenrichment","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Jeffrey Golding","Sumit Basu","","","","","","","global","","Tier 4","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"CI034070437","Informatica-SRW","","informatica  CI for SRW application team-DUPLICATE of CI034228877
Top 25 = No
Revenue Generating = No","SRW-Support","","","","","","","James Scholefield","Pranesh Halder","","ICD-Enterprise-Systems-APPRV","","","","","global","","2 - somewhat critical","Business Service","","ezhai301","None","","admin"
"CI000539561","Microsoft Windows 7","Win7","IT Delivery - End User Computing - End User Devices and Operating System - Microsoft Windows 7","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Michael Stotler","GWS-Windows-APPRV","","","Microsoft","","global","","2 - somewhat critical","Business Application","","rthomas@runbox.com","None","","admin"
"SNSVC0001967","upl-utility-green-proxy","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","Grace Chorey","","","","","","global","Updated details as per RITM004282638","Tier 3","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0003391","BRANCH Data","","This project involves ingesting data from Branch, a mobile measurement and deep linking platform, to enable marketers to track campaigns, attribute by channel, drive web visitors into the app, and improve customer experience within the app. ","MDP-DIG-DEPLOYMENT-Support","","","","Application Production Support","","","Daniel Macdonald","Lakshmi Ramasubramanian","Yogendra Bansal","MDP-UAI-APPRV","","","","","global","","Tier 3","Calculated Application Service","Internal","mviju288","None","","admin"
"BSN0003271","ExTouch Cloud Breakfast System","ExTouch Cloud Breakfast System","ExTouch Cloud Breakfast System of GC","GC-PKI-SSO-Support-AP","","","","","","","Hua Zhang","Hua Zhang","Hua Zhang","GC-PKI-SSO-APPRV-AP","","","","Hua Zhang","global","","Tier 3","Calculated Application Service","Internal","mviju288","None","","admin"
"CI007605149","Printer - Lexmark","","IT Delivery --> End User Devices and Operating System --> Printer - Lexmark ","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Eric Horansky","TWP-Mobile-APPRV","","","","","global","","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"BSN0001165","Datacenter ESXi Host - Private Cloud","","Request type = Build - Used for requesting a build of new ESXi host in the datacenter.
Request type = Configure - Used for configuring ESXi host in the datacenter.
Request type = Maintain/Monitor - Used for requesting for detailed performance chart of ESXi servers or capacity assessment.  It can also be used to request live monitoring of servers during specific processes or changes.  

IJJ Private/Public/Enterprise","ICD-Private-Cloud-Infrastructure","","","","Infrastructure – IaaS","","","Adnan Haq","Matthew Barczak","Saket Goenka","ICD-Private-Cloud-Infrastructure-APPRV","","","","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"BSN0001509","Ops Genie","","","Critical-Systems-Management-Support-AMER","","","","","","","James Scholefield","Brian Moran","Brian Moran","CriticalSystemsManagement-APPRV-AMER","","","","","global","CI updated as per: RITM002889763","Tier 4","Business Service","Internal","ijess202","None","","admin"
"BSN0001263","Group Reservation Audit (GRA)","","","Group-Housing-Solutions-Support","","","","","","","Neil Ardeshna","Daniel McCarron","Emily Moothart","eTools-CWP-APPRV","","","","","global","","Tier 2","Business Service","Internal","ijess202","None","","admin"
"CI000598067","Custom App","","Custom apps (MIDAS, App Installer, BuildDistrib, Delta, ISO Creator, PC Final Setup Script Collection, PC Imaging Script Collection, Reporter, StageIt, StuffIt, Verify)

Created from - RITM000014691","Service Desk-ESP-L1","","","","","","","James Scholefield","Randall Hughes","Bruce Nguyen","GWS-Workplace & End User Applications-APPRV","","","","","global","","3 - less critical","Business Service","","dcasillo","None","","admin"
"CI083190890","api policy/community manager aws","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","Tier 1","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"SNSVC0001929","upl-loyalty-green","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Konda Yeduguri","Jeffrey Ecott","Rahul Saxena","","","","","","global","","Tier 3","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"CI083132160","malwarecheck-app","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","Tier 2","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"CI000539549","Marriott International Terminal Server","","","Tier-1-Technical-Support-EG","","","","","","","James Scholefield","Karen Countee","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI083190908","api couchbase prod8","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Devesh Arora","Gurdeep Batra","SIVAKUMAR KARUPPIAH","","","","","Krishnan Seshadri","global","Updated as per RITM004282638","Tier 1","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0003427","Script Advisor","","Script Advisor is a webportal that provides access to pharmaceutical information for workers' compensation claims. Information housed in this portal includes medication that has been prescribed, dispensed or denied. The portal keeps track of claim information and all medication utilization. Participating network pharmacies send prescription information electronically to Script Advisor to determine eligibility and authorization of dispensing the prescribed medication. Injured worker name, claim number and date of injury are required to determine eligibility. If the claim has not been previously enrolled, medication can be denied. If the medication is not on a Marriott Formulary, it will require authorization. Otherwise, Script Advisor/Coventry Connect will authorize the filling of the prescription. Coventry Connect was formerly part of the Script Advisor Pharmacy Benefit Management (PBM) program","Risk-Management-Apps-Other","","","","Corporate Systems","RiskMgmtApps-PROB","","Sanchita Sarkar","Patricia Vranis","Patricia Vranis","Risk-Management-Apps-APPRV-AMER","","","","Maurice Gikima","global","","Tier 4","Calculated Application Service","Internal","ijess202","None","","admin"
"CI000765754","IDEA-Infrastructure Engineering-Cloud-Support Request","","Marriott Infrastructure Engineering Cloud Platform Support Team Service Request.","ICD-Private-Cloud-Infrastructure","","","","Infrastructure – IaaS","","","Adnan Haq","Matthew Barczak","Kevin Schumacher","ICD-Private-Cloud-APPRV","","","","","global","","1 - most critical","Business Service","","rthom260","None","","admin"
"BSN0002363","Marriott.com - Phoenix Web Guest Services","","Phoenix Web Guest Services","IncidentMgmt-Digital-L2-Support","Phoenix-Web-Guest-Services-Dev-US-CAN","","","Application Production Support","","ProblemManager_APS-PROB","Richard DiStefano","Sangeetha Thomas","Rahul Saxena","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Anil Chennapragada","global","","Tier 1","Business Service","Internal","ijess202","Revenue Generating","PADMA NEELAGARU","admin"
"CI007605140","Micros/Oracle - Desktop PC","","IT Delivery --> End User Devices and Operating System --> Micros/Oracle - Desktop PC","Service Desk-ENG-L1","","","","","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Conf&Collab-APPRV","","","","","global","Retired as per RITM003908271","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"CI005596169","VMWare Airwatch","","IT Delivery - End User Computing - Backoffice System Management Applications - VMWare Airwatch","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Eric Horansky","TWP-Mobile-APPRV","","","VMware, Inc.","","global","","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"BSN0001787","MIAssocIOT-Reservations-SoloInsight","Reservations, reserve a workspace (desk) or meeting rooom at Marriott HQ","Pre-registration of visitors, designate them as VIP (which will give them a parking pass to the MI garage)  
Reservations, reserve a workspace (desk) or meeting rooom at Marriott HQ","Service Desk-ENG-L1","","","","","","","Sarah Searls","Jerry Gray","Bruce Nguyen","IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN","","","SoloInsight","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"CI000010883","Mozilla Firefox","","IT Delivery - End User Computing - Workplace and End User Applications - Mozilla Firefox","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Eric Horansky","TWP-Mobile-APPRV","","","Mozilla","","global","","2 - somewhat critical","Business Application","","rthomas@runbox.com","None","","admin"
"SNSVC0002148","qrcode-ms::prod1","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","","","","","","","","","global","","4 - not critical","Tag-Based Application Service","Internal","ijess202","None","PADMA NEELAGARU","admin"
"CI081455291","APC Load Balancers","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated details as per RITM004282638","4 - not critical","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"SNSVC0004001","OFFERS-MS - (AS)","","""SPOTNANA is a new partner integrating with Marriott. Spotnana will integrate with MI ecosystem to support small and medium business with hotel booking on participant properties. 
Created 3 new Microservices (MPA-MS, Offers-MS, Roomdetails-MS) will be accessed by spotnana clients through Marriott Akana APC Gateway:
1.MPA-MS (Multi Property Availability): Rates & Availability by property.
2.Offers-MS : Terms & Conditions
3.Room details-MS- Roomtype details 
Additionally, we are reusing microservices which is built for Cityexpress with small enhancements
4.SPA-MS(Single Property Availability) : Rates & Availability by property.
5.Reservation-MS : Create, Read, Update & Delete Trip.
New Microservices will call internally V2 EAPIs. New API request/response is MMF compatible
EKS :tip-platform
EKS Cluster & Namespace:
LLE Clusters:
 mi-lz-dc-foundational-tip-dev 110576833572
mi-lz-dc-foundational-tip-test 597351379612
mi-lz-dc-foundational-tip-perf 806717236186 
LLE Namespace: tip-platform 
Prod Cluster: mi-lz-dc-foundational-tip-prod 466623320682 
Namespace: foundational-tip-prod1""

APS-Config-TM = Padma Neelagaru
B2B Status = Completed
Simple Dependency Status = Completed
Service Map Status = Completed
","IncidentMgmt-Digital-L2-Support","","","","Application Production Support","Core-Platform-Enterprise API-PROD-PROB","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","Grace Chorey","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Srinath Krishnareddy","global","Updated details as per RITM004282638","Tier 3","Tag-Based Application Service","Internal","lnric753","Revenue Generating","PADMA NEELAGARU","admin"
"CI083132142","search-app","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","Tier 2","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"CI083132163","db2_marriott.com","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","Tier 2","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"CI007605142","Lenovo - Laptop PC","","IT Delivery --> End User Devices and Operating System --> Lenovo - Laptop PC ","Service Desk-ENG-L1","","","","","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Conf&Collab-APPRV","","","","","global","Retired as per RITM003908271","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"CI083132184","gateway-app","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","Tier 2","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"SNSVC0003001","RDS-Reservation Domain Services - Prod - (AS)","","","MGP-Res-Domain-Services-Support","","","RDS-Reservation Domain Services - Prod - (AS)","Application Production Support","MGP-Res-Domain-Services-PROB","ProblemManager_APS-PROB","Devesh Arora","","Deepti Purohit","MGP-Res-Domain-Services-APPRV","","","","","global","","Tier 3","Tag-Based Application Service","Internal","ezhai301","Revenue Generating","INDIRA SIVARCHAKA","admin"
"BSN0003092","Property-Pulse","","Through the Property Pulse dashboard, service desk analysts will have quick insight into the state of a property's server and network health. This informative view aims to positively impact the analyst's ability to troubleshoot and prioritize incidents, resulting in quicker resolution times.","PROPERTY-PULSE-Support-US-CAN","PROPERTY-PULSE-Support-US-CAN","","","US/Can - iT Support","","","Prashant Lonkar","James Scholefield","Kiran Chilukuri","IDSS-Marriott-Property-Pulse-APPRV-US-CAN","","","","","global","","Tier 5","Calculated Application Service","Internal","pgarg688","None","","admin"
"CI000010393","AudienceView","","","CEC-Lead-Desk-Support","","","","","","","James Scholefield","Don Hall III","","CEC-Product-Services-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
