"name","u_company","manager","u_group_category","description","vendors","u_location","u_location.company","sys_id"
"ACM-IBM-APPRV-AMER","IBM","Sunil Matta","Approval","Future use for approval by IBM ACM group","","","","76c82296dbb3bf8458df12484b9619bd"
"ACM-IBM-Support-AMER","IBM","Annapurna Annapurna","Assignment","Used for support for ACM change requests","","","","45a8e2d2dbb3bf8458df12484b9619d4"
"ACME Support","","Patrick Johnson","","ACME Customer Support department","","","","b8ef24616fc331003b3c498f5d3ee434"
"ACN-AID","Accenture-ITO","Pius Walcourt-Ambakederem","Security","Accenture ITO Parent Group","","","","070f9d531b59e45074bedb56dc4bcbd6"
"ACN-GIS","Accenture-ITO","Ravi Sheshadri","Security","Accenture ITO Parent Group","","","","394329131b99e45074bedb56dc4bcb26"
"ACN-GWS","Accenture-ITO","Mohit Aneja","Security","Accenture ITO Parent Group","","","","367fdd171b59e45074bedb56dc4bcb1e"
"ACN-ICD","Accenture-ITO","Ranjith Kp","Security","Accenture ITO Parent Group","","","","ee93e1531b99e45074bedb56dc4bcb9e"
"ACN-ITO-CSI-Support","Accenture-ITO","Donna Marie Evasco","Assignment","This group will be used to support CSI initiatives for Accenture ITO","","","","6ff7bfab1b02785074bedb56dc4bcb49"
"ACN-Mainframe","Accenture-ITO","Ruben Prada Barrio","Security","Accenture ITO Parent Group","","","","937461d31b99e45074bedb56dc4bcbca"
"ACN-MTOC","Accenture-ITO","","Security","Accenture ITO Parent Group","","","","b7b4a5d31b99e45074bedb56dc4bcbec"
"ACN-Network","Accenture-ITO","Manas Deep","Security","Accenture ITO Parent Group","","","","be452d171b99e45074bedb56dc4bcbd1"
"ACN-Parent Group","Accenture-ITO","Donna Marie Evasco","Security","Accenture ITO Parent Group","","","","375e155f1b19e45074bedb56dc4bcbda"
"ACN-PSD","Accenture-ITO","Donna Marie Evasco","Security","Accenture ITO Parent Group","","","","461425931b99e45074bedb56dc4bcb9b"
"ACN-Service Desk","Accenture-ITO","Eduardo Santos","Security","Accenture ITO Parent Group","","","","aa8521971b99e45074bedb56dc4bcb1a"
"ACRS-APPRV","Marriott","Oren Kalderon","Approval","Approval Group for ACRS","","","","ac20f72f972486d000e7f1021153af04"
"ACRS-PROB","Marriott","Randeep Pal","Assignment","Problem Owner Group for ACRS","","","","b9003feb972486d000e7f1021153af1d"
"ACRS-RMFS-RateOffer-Support","Marriott","Dawn Ulman","Assignment","To provide support for the ACRS HPP clean up efforts","","","","9e26cbaa472b4e949709da2c016d4367"
"ACRS-Support-US-CAN","Marriott","Oren Kalderon","Assignment","Support group for ACRS","","","","6f63372b97e486d000e7f1021153af88"
"Action: MBS","","David Perroots","Approval","Action: MBS Company Code: eSupplier","","","","5f9bdc98c34866d01936f72f05013168"
"Active-Directory-APPRV","Marriott","Albert Simmons III","Approval","Approval group for Active Directories","","","","602b12fa377b3600273127d2b3990edd"
"Ad-Builder-APPRV","Marriott","Lindsay Coffelt","Approval","This is for Storyteq / Ad Builder approval group. Storyteq / Ad Builder is a creative advertising asset development tool for MI marketers","","","","838550fc87d156d8417f8774dabb3509"
"Ad-Builder-Support","Marriott","Lindsay Coffelt","Assignment","This group will support Storyteq & Ad Builder, a creative advertising asset development tool for MI marketers","","","","e6ed51bf8745d658417f8774dabb354e"
"AD-Group-for-Threat-modeling-team-Support-US-CAN","Marriott","Sentil Selliah","Assignment","This group is to notify threat modeling team members on the applications of SER.","","","","dcc0e6f98760a254739e0d47dabb351c"
"Adapter-Squad5-Dev","TCS","Sneha Balakrishnan","Assignment","Adapter - Squad 5 Development team to develop Adapter services for MGP RM effort","","","","a4281a8bc3cae1d0a50477c4e401317d"
"Adobe user sync group","Marriott","Chi Pham","","Adobe user sync group","","","","3a30b913479a79106e76d967436d4388"
"Adobe-AEP-Support-US-CAN","Accenture","Kristin Cooper","Assignment","Support group for Adobe Experience Platform (AEP)","","","","bbb62cd48706399c28ddbb36dabb351b"
"Adobe-Launch-Support","Marriott","Cleve Young","Assignment","Support for Adobe Launch","","","","5ab65fc21b9bd010c1cecb7b234bcbe9"
"Adobe-Target-Support","Marriott","Martin Aliaga","Assignment","Support for Adobe Target","","","","ab418eeadb033b0458df12484b961924"
"Advanced-Data-Science-notification","Marriott","","Notification","The Advanced Data Science builds and manages machine learning models for various parts of the business.","","","","cd2eb5bedb8e10147c51fabfaa9619cc"
"AE-Dimensions-General-Support-US-CAN","AHS","Maricris Lopez","Assignment","AE Dimensions Assignment Group (support queue) used during Post Go-Live Support / Hypercare for incident management.","","","","6c7bccb387845ad0417f8774dabb35ac"
"AE-Dimensions-Integration-Support-US-CAN","AHS","Maricris Lopez","Assignment","AE Dimensions Assignment Group (support queue) for Integration used Post Go-Live Support / Hypercare for incident management","","","","1efb007b87845ad0417f8774dabb35fe"
"AE-Dimensions-Reporting-Analytics-Support-US-CAN","AHS","Maricris Lopez","Assignment","AE Dimensions Assignment Group (support queue) for Reporting & Analytics used Post Go-Live Support / Hypercare for incident management","","","","dbbbc87787845ad0417f8774dabb3518"
"AE-Dimensions-Scheduling-Forecasting-Support-US-CAN","AHS","Maricris Lopez","Assignment","AE Dimensions Assignment Group (support queue) for Scheduling & Forecasting used Post Go-Live Support / Hypercare for incident management","","","","0ceb043b87845ad0417f8774dabb35bc"
"AE-Dimensions-Timekeeping-Support-US-CAN","AHS","Maricris Lopez","Assignment","AE Dimensions Assignment Group (support queue) for Timekeeping used Post Go-Live Support / Hypercare for incident management","","","","429b883787845ad0417f8774dabb3599"
"AE-RA-Build-Support","AHS","Maricris Lopez","Assignment","Support queue for ATLAS Enhanced Reporting & Analytics workstream","","","","eee952cedb66f740a1b15c68dc961932"
"AE-Scheduling-Build-Support","AHS","Maricris Lopez","Assignment","Support queue for ATLAS Enhanced Scheduling workstream","","","","27869e0adb26f740a1b15c68dc961937"
"AEM--Global-Dining-Dev-US-CAN","Deloitte","Saurabh Narula","Assignment","Enabling Global Dinning  content on AEM platform","","","","770e1513dbe6a4904bf4e855ca9619f8"
"AEM-CN-Site-Dev-AP","Accenture","Sharan Dyamanagoudar","Assignment","Development work for .CN AEM migrations.","","","","c50dc532dbda78d0a666c799139619df"
"AEM-Co-Brands-Dev-US-CAN","Deloitte","Sanchit Khandelwal","Assignment","Applicable for Co-brand and family of cards related development and testing.","","","","d5f233201b223c101c4ea6c1b24bcb61"
"AEM-PPv5-Dev-US-CAN","Deloitte","Sheila Allen","Assignment","Applicable for PPv5 (Property Portal) development and testing.","","","","65fecff91ba445d48efc1f4fad4bcbe5"
"AEM-Provisioning-Support","Marriott","Robin Varughese","Assignment","Saviynt fulfillment queue for Adobe Experience Manager","","","","288717231bf53c9407e94009dc4bcb87"
"AEM-Restaurants-and-Bars-APPRV","Deloitte","Michael Daniels","Approval","Requesting approver group to be provisioned for the Restaurants & Bars product","","","","704bd68f8750fd14a46cc8c4dabb35f7"
"AEM-Restaurants-and-Bars-PROB","Deloitte","Michael Daniels","Assignment","Requesting the creation of a problem group for the Restaurants & Bars product","","","","3d2e5ac787d0fd14a46cc8c4dabb35ca"
"AEM-Restaurants-and-Bars-Support","Deloitte","Michael Daniels","Assignment","This group will be used to support the Restaurants & Bars product, which will have its first release in August","","","","bc4cd2878790fd14a46cc8c4dabb352a"
"AEM-SEARCH-AND-MAPS-APPRV-US-CAN","Deloitte","Adam Grudzien","Approval","Creating an approval group for the Search and Map Squad for AEM Deployments","","","","f09a81411b82b01807e94009dc4bcb45"
"AEM-Search-and-Maps-Support","Deloitte","Lakshmi Durga Nimmagadda","Assignment","Creating this at the request of Deployment team for Search and Map AEM Deployments","","","","55246ae51b463c50769cb9d51a4bcbf0"
"AEM-Splunk-Monitoring-Team-support","Marriott","Adam Grudzien","Assignment","Support group for notification of critical Splunk log issues","","","","6940977b1b9409143fdea79b2d4bcbd0"
"AEM-Storefront-Dev-US-CAN","Accenture","Lakshmi Durga Nimmagadda","Assignment","Enabling Storefront content on AEM platform","","","","d359cf13db9e2c144c04eba8139619b5"
"Agilysys-Stay-Interface-APPRV-US-CAN","Marriott","Adam Jones","Approval","Agilysys LLC Approvals","","","","234d555f87963598259cc149dabb3518"
"Agilysys-Stay-Interface-Dev-US-CAN","Marriott","Adam Jones","Assignment","Agilysys LLC Support","","","","330c559387563598259cc149dabb3591"
"Agilysys-Stay-Interface-PROB","Marriott","Adam Jones","Assignment","Agilysys LLC Problem","","","","63ecdd9387963598259cc149dabb353d"
"Agilysys-Stay-PMS-APPRV-US-CAN","Marriott","Shankar Jayaraman","Approval","Agilysys Approval Group","","","","ed29a19397d23d1825ae37300153af4d"
"agilysys-stay-pms-Dev-US-CAN","Marriott","Shankar Jayaraman","Assignment","This group will manage the certificates issued by Marriott for Agilysys Stay PMS to connect to the Kafka topics","","","","f60d272197f17d187da33bb3f153afdb"
"Agilysys-Stay-PMS-PROB","Marriott","Adam Jones","Assignment","Agilysys Problem Group","","","","5d5ecbac97a2bd10e3ba7eb71153af9e"
"Agilysys-StayPMS-Escalations-Support","Marriott","Lee Wharton","Assignment","Service Provider should = Agilysys
Support group for the integration of Marriott ServiceNow and Agilysys Salesforce to fulfill Agilysys Stay PMS support","","","","9929e0a7c34ece585076729dc0013154"
"AHS-BPS-AP-Accounting-Support-Support","AHS","Neeraj Sharma","Assignment","Group created for raising incident","","","","321d5a7ec34c66d81936f72f050131c4"
"AHS-BPS-AP-Audit-Support-Support","AHS","Prateek Kumar Saxena","Assignment","AHS BPS AUDIT & Support","","","","a431f6ea5334da903f8335c0a0490e69"
"AHS-BPS-AP-BANKING-Support","AHS","Prateek Kumar Saxena","Assignment","AHS AP Banking team","","","","22517e2e5334da903f8335c0a0490ebf"
"AHS-BPS-AP-Cards-Support","AHS","Prateek Kumar Saxena","Assignment","AHS AP Cards team","","","","b6eff04997f8da546f20dea00153af30"
"AHS-BPS-AP-Dalian-Support","AHS","Selina Dan Sun","Assignment","Created this group for Dalian team to raise incident","","","","4b0c9afac30c66d81936f72f050131b0"
"AHS-BPS-AP-OTHER-Support","AHS","Prateek Kumar Saxena","Assignment","AHS BPS OTHER","","","","5bc07a2a5334da903f8335c0a0490eee"
"AHS-BPS-AP-Vendor-Support","AHS","Prateek Kumar Saxena","Assignment","AHS AP Vendor team","","","","d601ba6a5334da903f8335c0a0490ef9"
"AHS-BPS-BAR-Support","AHS","Barun Kumar","Assignment","Snow Group created for BAR so that CSG can push back the tickets to BPS/AHS for their support or if any further clarification required.","","","","7e1b6438477c5298cea493c5536d4365"
"AHS-BPS-eFolio-Support","AHS","Devdutt Khanna","Assignment","Snow Group created for eFolio so that CSG can push back the tickets to BPS AHS for their support or any further caprification required","","","","8bca64f0477c5298cea493c5536d4305"
"AHS-Canada-ATLAS-Support","Accenture","Vishal Chachad","Assignment","Creating this group for Payroll Support Services - Cananda.","","","","b61ffcda87c6ced0a83f87bd0ebb357c"
"AHS-Compliance-Support-US-CAN","AHS","Mani Bhushan","Assignment","OnBase access will be provided through Identity Shoppe","","","","50406cbddba1811475589c46b996190a"
"AHS-Contract-Engine-Support","AHS","Therese Moscoso","Assignment","Assignment Group for AHS Contract Engine support team","","","","c4e1d31fdbd8c49058df12484b961902"
"AHS-F1J1-Support","AHS","Candice Roy","Assignment","Creating a SNOW group for assignment of the F1J1 exemption and refunds","","","","9ad3e35097487154968337cfe153afe0"
"AHS-Payroll-Deductions-Support-US-CAN","AHS","James Worley","Assignment","Setting up a group for the new deductions branch","","","","bf193fcbdba8d1584345a2ad13961929"
"AHS-Payroll-ReportWriter-Support","AHS","Carabal Kanjar","Assignment","PTA Mumbai team to approve Marrpay Report Writer request.","","","","c30c29a49734255012a8b4efe153af86"
"AHS-Payroll-Tax-Support","AHS","Candice Roy","Assignment","Creating this group for AHS Payroll Tax","","","","46a6dd0c475ea554c8f6b4ae436d43b5"
"AHS-Uipath-APPRV-US-CAN","Accenture","Digvijay Singh","Approval","Need this group for approving service request.","","","","0aad43c747919998c8f6b4ae436d43a3"
"AHS-UiPath-Dev-Support-Dev-US-CAN","Accenture","Digvijay Singh","Assignment","Application support group for Ui path","","","","878d078747919998c8f6b4ae436d4331"
"AHS-UiPath-Prod-Support-Support-US-CAN","Accenture","Digvijay Singh","Assignment","Application support group for ui path prod","","","","8acdc7c747919998c8f6b4ae436d4328"
"AHSAOFunctional-Support","AHS","Lea Gracia Dumaua","Assignment","Support group for AHS AO Functional group","","","","9f81ddb7c3e66514a50477c4e40131f0"
"AHSAPPLTTAX-APPRV","AHS","Diane Cristina Almeda","Approval","This is the approval group for all changes related to LTTax web application supported by AHS-Microsoft team.","","","","3bbc244adb950708b3375e65ce961924"
"AHSAPPMARRSTAR-APPRV","AHS","Immanuel Arcamo","Approval","Approver group for any/all change related to the MarrSTAR applications.
Approver group owned by AHS APP","","","","a66991bedbabba00b3375e65ce9619b1"
"AHSAPPMSACCESS-APPRV","AHS","Miguel Silpedes","Approval","Approver group for any/all change related to the MS Access applications.
Approver group owned by AHS APP","","","","3a6991bedbabba00b3375e65ce9619df"
"AHSAPPTRACKERDB-APPRV","AHS","Diane Cristina Almeda","Approval","Approver group for any/all change related to the TrackerDB applications.
Approver group owned by AHS APP","","","","a07959bedbabba00b3375e65ce961989"
"AHSATLAS-APPRV","AHS","Gloria Santos","Approval","approver for any change related to ATLAS/ATLAS Enhanced application.","","","","7e2f3e80dbd88b80b3375e65ce961974"
"AHSATLAS-BUILD","AHS","Maricris Lopez","Assignment","group for AHS ATLAS Build","","","","b9e8fdfddb58f748b74c3ede7c961936"
"AHSATLAS-SUPPORT","AHS","Gloria Santos","Assignment","group for AHS ATLAS Support","","","","25858b88dbd88b80b3375e65ce9619bc"
"AHSBAR-APPRV","AHS","Lubert Taguinod","Approval","Approver for any change related to Marriott - AHS-BAR/eFolio/OFB Applications.","","","","b07959bedbabba00b3375e65ce9619ae"
"AHSBEAM-APPRV","Accenture","Manuel Jr Castillo","Approval","This group will be used to approve changes related to BEAM Application","","","","9d8c5e36c34c66d81936f72f05013156"
"AHSBEAM-Support","Accenture","Manuel Jr Castillo","Assignment","This Group will support the BEAM Application","","","","e6fcdefac34c66d81936f72f050131dd"
"AHSBPOBAR-Support","AHS","","Assignment","Support group for AHS - BPO for BAR","","","","e7056ae2dbd84300edd7fb051d9619c6"
"AHSBPOFIN-Support","AHS","Vishal Mathur","Assignment","Support group for AHS - BPO for FIN.","","","","4d7999bedbabba00b3375e65ce96198b"
"AHSBPOMARRSTA-Support","AHS","","Assignment","Support group for  the MarrSTAR applications.","","","","d179d9bedbabba00b3375e65ce961954"
"AHSBPOOFB-Support","AHS","","Assignment","Support group for AHS - BPO for OFB.","","","","016719a1db7b7240d82838f0ad96197e"
"AHSBPOPCAM-Support-Support-AMER","AHS","","Assignment","AHSBPOPCAM-Support group for PS Project Costing and Asset Management Support","","","","d57582bbdbd88b00f6dbd2c75e961969"
"AHSBPOPO-SUPPORT","AHS","Miguel Silpedes","Assignment","Performance Optimization Team","","","","a5f507c8dbd88b80b3375e65ce9619c3"
"AHSCE-APPRV","AHS","Therese Moscoso","Approval","Approver Group for AHS Contract Engine Support team","","","","d7c1df5bdbd8c49058df12484b96192a"
"AHSDBA-APPRV","AHS","Remelyn Labao","Assignment","Approver for any changes where AHS-DBA involvement is needed.","","","","5579d9bedbabba00b3375e65ce961981"
"AHSDBA-Support","AHS","Remelyn Labao","Assignment","Provide support for changes assigned to AHS DBA Team.","","","","e579d9bedbabba00b3375e65ce9619cf"
"AHSEPB-APPRV","AHS","Miguel Silpedes","Approval","Approver for any change related to Marriott - AHS-EPB Application.","","","","79791dbedbabba00b3375e65ce961954"
"AHSEPM-APPRV","AHS","Miguel Silpedes","Assignment","Approver for any change related to Marriott - AHS-EPM Application.","","","","35791dbedbabba00b3375e65ce961993"
"AHSFIAT-APPRV","AHS","Manuel Jr Castillo","Approval","Approval group for FIAT (Future Income Audit Tool) change and release tasks.","","","","870e82dadbc0e410a666c7991396193f"
"AHSFIAT-Dev","AHS","Fawad Aziz","Assignment","AHSFIAT is the Build group who is supporting the FIAT Implementation for the from 12/2020 - 4/2021","","","","188a7828db0064108a221fe9689619b3"
"AHSFIAT-Support","AHS","Manuel Jr Castillo","Assignment","This group will be the run support of the FIAT application","","","","26a23c0a87565914417f8774dabb3508"
"AHSFIN-APPRV","AHS","Kelly Maniego","Approval","Approver for any change related to Marriott - AHS-FIN Applications.","","","","06791dbedbabba00b3375e65ce9619f7"
"AHSHyperion-APPRV","AHS","Miguel Silpedes","Approval","Approver for any change related to Marriott - AHS-Hyperion Applications.","","","","c2795dbedbabba00b3375e65ce96194a"
"AHSHyperionBUILD-Support","AHS","Therese Moscoso","Assignment","Support group for AHS AO - Hyperion Build 
","","","","cdf6d673dbba1b44b355dda5ca961956"
"AHSIOBassL1-Support","AHS","","Assignment","As owner group on the ticketing tool.","","","","96795dbedbabba00b3375e65ce9619a6"
"AHSJCDB-Support","AHS","Irish Diwata","Assignment","This group will support the Job Code Database (JCDB) Application.","","","","7df9f276db81c9d075589c46b9961987"
"AHSLMS-SUPPORT","AHS","Megan Rusek","Assignment","Support group for LMS.","","","","bb627262db9c4700d82838f0ad961928"
"AHSMagLevBuild-Support-Support","AHS","","Assignment","SNOW Group for MagLev","","","","3ce2918c1b47201489b84005bd4bcb3a"
"AHSMF-APPRV","AHS","Diane Cristina Almeda","Approval","Approver for any change related to Marriott - AHS-Mainframe Finance and Payroll Applications.","","","","92795dbedbabba00b3375e65ce9619df"
"AHSMF-SUPPORT","AHS","John Carlo Real","Assignment","Support group for Mainframe applications.","","","","73830f08dbd88b80b3375e65ce9619b6"
"AHSMGL-APPRV","AHS","Miguel Silpedes","Approval","Approver for any change related to Marriott - AHS-MGL Application.","","","","6e799dbedbabba00b3375e65ce96190f"
"AHSMOSAIC-APPRV","AHS","Kelly Maniego","Approval","Approver for any change related to Marriott - AHS-MOSAIC Applications.","","","","66799dbedbabba00b3375e65ce961956"
"AHSMSAPPS-SUPPORT","AHS","Immanuel Arcamo","Assignment","Support group for MS  applications.","","","","26144348dbd88b80b3375e65ce96191b"
"AHSP2P-SUPPORT","AHS","Argie Dela Cruz","Assignment","Support group for PTP applications.","","","","5550cb84dbd88b80b3375e65ce96192b"
"AHSP2PBUILD-Support","AHS","Allan Alicante","Assignment","Support group for AHS AO - PTP Build
","","","","96ba7a2edb345304b355dda5ca96192d"
"AHSPAYROLL-Support","AHS","Vishal Chachad","Assignment","Support group for Payroll Services.","","","","b4779da1db7b7240d82838f0ad9619b3"
"AHSPayrollBanking-Support","AHS","Carabal Kanjar","Assignment","Creating this group to answer queries related to Payroll Banking","","","","82a93bda4719959858878a12736d43f2"
"AHSPAYROLLCONFIGURATION-Support","AHS","James Worley","Assignment","Support group for Payroll Configurations.","","","","20779da1db7b7240d82838f0ad961927"
"AHSPayrollDeductions-Support","AHS","Santosh Indurkar","Assignment","To receive service request related to deduction set up, issues and cancellation","","","","a763070347b0a954b4e10652736d43e5"
"AHSPayrollDistributed-APPRV","AHS","Immanuel Arcamo","Approval","Approver for any change related to AHS Payroll.Net applications","","","","f2799dbedbabba00b3375e65ce961989"
"AHSPayrollDistributed-Support","AHS","Miguel Silpedes","Assignment","Provide support for all the AHS Payroll and Benefits Distributed Tickets","","","","b6799dbedbabba00b3375e65ce9619b8"
"AHSPayrollGarnishments-Support","AHS","James Worley","Assignment","To work garnishment related client work orders","","","","06a49b724781d9540ffff062736d436a"
"AHSPayrollMainframe-Support","AHS","Joy Cielo Cenidoza","Assignment","Provide support for all the AHS Payroll and Benefits Mainframe Tickets","","","","72799dbedbabba00b3375e65ce9619f2"
"AHSPayrollMF-APPRV","AHS","Joy Cielo Cenidoza","Approval","New group of approvers for Payroll Mainframe.","","","","cb79ddbedbabba00b3375e65ce961991"
"AHSPayrollQuickPays-Support","AHS","James Worley","Assignment","Creating SNOW queue for QuickPays inquiry","","","","d202c8c1475115d09df0cab2846d4341"
"AHSPayrollSystems-APPRV","AHS","Miguel Silpedes","Approval","New group of approvers for Payroll Systems.","","","","5b79ddbedbabba00b3375e65ce9619c2"
"AHSPAYROLLSYSTEMS-Support","AHS","Joy Cielo Cenidoza","Assignment","Support group for Payroll Systems.","","","","df79ddbedbabba00b3375e65ce9619f8"
"AHSPayrollTransactionAdministration-Support","AHS","James Worley","Assignment","MBS Payroll Services","","","","90306e84dbd6c050cf21a1ac0b96190f"
"AHSPayrollUKGDeductions-Support","AHS","Santosh Indurkar","Assignment","Creating a Queue for UKG Deduction Related Inquiry","","","","0b29335a4719959858878a12736d43e0"
"AHSPCDW-APPRV","AHS","Kelly Maniego","Approval","Approver for any change related to Marriott - AHS-PCDW Applications.","","","","eb7911fedbabba00b3375e65ce9619ff"
"AHSPCS-Support","AHS","Marianne Englis","Assignment","Support group for AHS PCS/PMO","","","","c9464fc8dbd88b80b3375e65ce9619a2"
"AHSR2R-SUPPORT","AHS","Billy Joel Villanueva","Assignment","Support group for RTR applications.","","","","4fb20f08dbd88b80b3375e65ce9619ad"
"AHSR2RBUILD-Support","AHS","Therese Moscoso","Assignment","Support group for AHS AO - RTR Build
","","","","3cdab2eedb345304b355dda5ca9619d6"
"AHSReadSoft-Support","AHS","Argie Dela Cruz","Assignment","This group will support the ReadSoft application.","","","","5a89228cdb9b2f443c58309e7c96196e"
"AHSS2C-SUPPORT","AHS","Noli Legaspi","Assignment","Support group for STC applications.","","","","a69187c4dbd88b80b3375e65ce961908"
"AHSS2CBUILD-Support","AHS","Therese Moscoso","Assignment","Support group for AHS AO - STC Build
","","","","31eaf662db745304b355dda5ca961999"
"AHSTECH-APPRV","AHS","Brian Porillo","Approval","Approver group for any/all change related to Tech arch (PeopleSoft/Non-PeopleSoft Applications).","","","","f77951fedbabba00b3375e65ce9619c7"
"AHSTECH-Support","AHS","Brian Porillo","Assignment","Provide Tech support for all Tech Arch tickets.","","","","9089d1fedbabba00b3375e65ce961964"
"AHSTECHCM-Support","AHS","Brian Porillo","Assignment","Provide Tech support for all AHS CM Tickets","","","","c88991fedbabba00b3375e65ce961980"
"AHSTECHCO-APPRV","AHS","Sharon Gunn","Approval","Change coordinator approver group for any/all change related to Tech arch (PeopleSoft/Non-PeopleSoft).","","","","088991fedbabba00b3375e65ce9619f6"
"AHSTSS-APPRV","AHS","Brian Porillo","Approval","Approver group for any/all change related to AHS Terminal Servers","","","","ec8915fedbabba00b3375e65ce961917"
"AHSTSS-Support","AHS","Brian Porillo","Assignment","Provide support for all AHS Terminal Server Tickets","","","","a08915fedbabba00b3375e65ce961941"
"AI-GxP-Connection-Application-Support-Grp-Support-CALA","Marriott","Christina Funk","Assignment","Will utilize to approve certificate requests from Blue Diamond Resort hotels, be the first POC for support with the GxP application.","","","","2bdd049887a25dd4311333373cbb35de"
"AI-INCUBATOR-EVENT-AGENDA-APPRV","Marriott","Chandrashekhar Guddimath","Approval","This group will support AI Incubator initiatives
1. Event Agenda Builder","","","","713a72a297cbb95425ae37300153af6f"
"AID","Accenture-ITO","Donna Marie Evasco","Security","Accenture ITO Parent group for reporting consolidation and template sharing
","","","","20265d6ddb9653802d42a026ca9619cc"
"AID-Change-Release-Management-Infra","Accenture-ITO","","Assignment","Accenture ITO Change Compliance and Release Management","","","","fac79e9e1bc924903cb811b4bd4bcb90"
"AID-Change-Release-Management-Infra-APPRV","Accenture-ITO","","Approval","Accenture ITO Change Compliance and Release Management Approval Group","","","","7abd525e1b4d24903cb811b4bd4bcb06"
"AID-Monitoring-and-Performance-Management-APPRV","TCS","Ather Ahsan","Approval","Approval Group for AID-Monitoring-and-Performance-Management","","","","87bd525e1b4d24903cb811b4bd4bcb76"
"AID-Monitoring-and-Performance-Management-PROB","TCS","Ather Ahsan","Assignment","Assignment Assignment group for AID-Monitoring-and-Performance-Management","","","","43c79e9e1bc924903cb811b4bd4bcbd6"
"AID-Monitoring-and-Performance-Management-Support","TCS","Dan Smith","Assignment","Assignment group for AID-Monitoring-and-Performance-Management","","","","dc51a502db7f778458df12484b96190a"
"AID-MTOC-CL","Accenture-ITO","Luven Dsouza","Assignment","Queue for MTOC Communications Lead","","","","3e35dc05dbffac5042e871f239961995"
"AID-MTOC-Tools","Accenture-ITO","Luven Dsouza","Assignment","Accenture ITO MTOC Tools support group (BigPanda, HPOO)","","","","129a0411dba5a4104bf4e855ca96191e"
"AID-MTOC-Tools-APPRV","Accenture","Sudhakara Reddy","Approval","AID MTOC Tools team manages all monitoring and event aggregation tools.[BigPanda, HPOO, BSM, etc]","","","","dee93276db81c9d075589c46b996199a"
"AID-MTOC-Tools-PROB","Marriott","Brian Moran","Assignment","AID MTOC Tools team manages BSM, MFOO and BigPanda within Marriott.","","","","4adbea721b714190b7bf10ad2d4bcbf7"
